;ticket;valor_intrinseco;desconto;preco_inicio;preco_fim;variacao_percentual
0;ALOS3;10.08;178.77;28.11;28.11;0.0
1;ABEV3;14.79;-6.239999999999999;13.87;13.87;0.0
2;ASAI3;0.66;989.63;7.14;7.14;0.0
3;AURE3;9.6;22.88;11.8;11.8;0.0
4;AXIA3;40.33;23.72;49.9;49.9;0.0
5;AXIA6;59.85;-12.4;52.43;52.43;0.0
6;AZZA3;30.15;-17.669999999999998;24.82;24.82;0.0
7;B3SA3;3.82;250.92;13.41;13.41;0.0
8;BBSE3;61.25;-41.11;36.07;36.07;0.0
9;BBDC3;22.74;-31.919999999999998;15.48;15.48;0.0
10;BBDC4;25.01;-27.72;18.08;18.08;0.0
11;BRAP4;23.86;-16.18;20.0;20.0;0.0
12;BBAS3;25.0;-13.13;21.72;21.72;0.0
13;BRKM5;;;7.95;7.95;0.0
14;BRAV3;3.21;423.01;16.78;16.78;0.0
15;BPAC11;17.87;192.66;52.29;52.29;0.0
16;CXSE3;19.74;-17.79;16.23;16.23;0.0
17;CEAB3;3.77;230.24;12.44;12.44;0.0
18;CMIG4;25.72;-56.910000000000004;11.08;11.08;0.0
19;COGN3;1.51;105.67;3.11;3.11;0.0
20;CSMG3;46.81;-7.71;43.2;43.2;0.0
21;CPLE3;5.59;115.82;12.06;12.06;0.0
22;CSAN3;;;5.3;5.3;0.0
23;CPFE3;23.43;126.71;53.11;53.11;0.0
24;CMIN3;5.45;-2.32;5.32;5.32;0.0
25;CURY3;43.19;-27.24;31.43;31.43;0.0
26;CYRE3;30.86;-6.0600000000000005;28.99;28.99;0.0
27;DIRR3;43.28;-68.05;13.83;13.83;0.0
28;ENGI11;19.73;137.87;46.92;46.92;0.0
29;ENEV3;;;19.92;19.92;0.0
30;EGIE3;21.88;41.32;30.92;30.92;0.0
31;EQTL3;18.68;105.38000000000001;38.37;38.37;0.0
32;FLRY3;16.54;-10.71;14.77;14.77;0.0
33;GGBR4;8.42;143.92000000000002;20.53;20.53;0.0
34;GOAU4;6.78;31.900000000000002;8.94;8.94;0.0
35;HAPV3;;;14.75;14.75;0.0
36;HYPE3;9.64;140.55;23.2;23.2;0.0
37;IGTI11;4.76;427.74;25.13;25.13;0.0
38;IRBR3;;;53.63;53.63;0.0
39;ISAE4;22.88;18.72;27.16;27.16;0.0
40;ITSA4;17.71;-34.57;11.59;11.59;0.0
41;ITUB4;49.48;-21.25;38.96;38.96;0.0
42;KLBN11;26.04;-28.12;18.72;18.72;0.0
43;RENT3;30.1;49.45;44.98;44.98;0.0
44;LREN3;12.94;4.32;13.5;13.5;0.0
45;MGLU3;5.39;65.08;8.9;8.9;0.0
46;POMO4;12.85;-53.23;6.01;6.01;0.0
47;MBRF3;23.48;-15.07;19.94;19.94;0.0
48;BEEF3;2.98;93.89;5.78;5.78;0.0
49;MRVE3;;;7.69;7.69;0.0
50;MULT3;17.97;50.14999999999999;26.99;26.99;0.0
51;PCAR3;;;3.69;3.69;0.0
52;PETR3;51.39;-37.09;32.33;32.33;0.0
53;PETR4;51.43;-40.25;30.73;30.73;0.0
54;RECV3;12.89;-12.82;11.24;11.24;0.0
55;PRIO3;0.61;6695.969999999999;41.14;41.14;0.0
56;PSSA3;15.41;208.5;47.54;47.54;0.0
57;RADL3;5.82;301.22;23.34;23.34;0.0
58;RAIZ4;;;0.8;0.8;0.0
59;RDOR3;31.27;30.330000000000002;40.75;40.75;0.0
60;RAIL3;2.69;442.87;14.61;14.61;0.0
61;SBSP3;53.46;147.70000000000002;132.41;132.41;0.0
62;SANB11;14.32;131.9;33.2;33.2;0.0
63;CSNA3;;;8.93;8.93;0.0
64;SLCE3;29.05;-50.61;14.35;14.35;0.0
65;SMFT3;5.62;310.98;23.08;23.08;0.0
66;SUZB3;11.94;331.86;51.55;51.55;0.0
67;TAEE11;26.88;54.36;41.49;41.49;0.0
68;VIVT3;20.35;61.85000000000001;32.93;32.93;0.0
69;TIMS3;26.87;-19.46;21.64;21.64;0.0
70;TOTS3;8.83;373.21;41.8;41.8;0.0
71;UGPA3;16.2;28.74;20.85;20.85;0.0
72;USIM5;;;5.93;5.93;0.0
73;VALE3;52.92;36.29;72.12;72.12;0.0
74;VAMO3;2.07;56.48;3.24;3.24;0.0
75;VBBR3;11.07;127.58;25.19;25.19;0.0
76;VIVA3;12.33;166.73;32.89;32.89;0.0
77;WEGE3;22.5;116.46000000000001;48.71;48.71;0.0
78;YDUQ3;9.94;21.29;12.06;12.06;0.0
