Ticket;Setor de Atuação;Subsetor de Atuação;Segmento de Atuação
ALOS3;Financeiro e Outros;Exploração de Imóveis;Exploração de Imóveis
ABEV3;Consumo não Cíclico;Bebidas;Cervejas e Refrigerantes
ANIM3;Consumo Cíclico;Diversos;Serviços Educacionais
ASAI3;Consumo não Cíclico;Comércio e Distribuição;Alimentos
AURE3;Utilidade Pública;Energia Elétrica;Energia Elétrica
AXIA3;Utilidade Pública;Energia Elétrica;Energia Elétrica
AXIA6;Utilidade Pública;Energia Elétrica;Energia Elétrica
AZZA3;Consumo Cíclico;Comércio;Tecidos. Vestuário e Calçados
B3SA3;Financeiro e Outros;Serviços Financeiros Diversos;Serviços Financeiros Diversos
BBSE3;Financeiro e Outros;Previdência e Seguros;Seguradoras
BBDC3;Financeiro e Outros;Intermediários Financeiros;Bancos
BBDC4;Financeiro e Outros;Intermediários Financeiros;Bancos
BRAP4;Materiais Básicos;Mineração;Minerais Metálicos
BBAS3;Financeiro e Outros;Intermediários Financeiros;Bancos
BRKM5;Materiais Básicos;Químicos;Petroquímicos
BRAV3;Petróleo. Gás e Biocombustíveis;Petróleo. Gás e Biocombustíveis;Exploração. Refino e Distribuição
BPAC11;Financeiro e Outros;Intermediários Financeiros;Bancos
CXSE3;Financeiro e Outros;Previdência e Seguros;Corretoras de Seguros
BHIA3;Consumo Cíclico;Comércio;Eletrodomésticos
CBAV3;Materiais Básicos;Mineração;Minerais Metálicos
CEAB3;Consumo Cíclico;Comércio;Tecidos. Vestuário e Calçados
CMIG4;Utilidade Pública;Energia Elétrica;Energia Elétrica
COGN3;Consumo Cíclico;Diversos;Serviços Educacionais
CSMG3;Utilidade Pública;Água e Saneamento;Água e Saneamento
CPLE3;Utilidade Pública;Energia Elétrica;Energia Elétrica
CSAN3;Petróleo. Gás e Biocombustíveis;Petróleo. Gás e Biocombustíveis;Exploração. Refino e Distribuição
CPFE3;Utilidade Pública;Energia Elétrica;Energia Elétrica
CMIN3;Materiais Básicos;Mineração;Minerais Metálicos
CURY3;Consumo Cíclico;Construção Civil;Incorporações
CVCB3;Consumo Cíclico;Viagens e Lazer;Viagens e Turismo
CYRE3;Consumo Cíclico;Construção Civil;Incorporações
CYRE4;Consumo Cíclico;Construção Civil;Incorporações
DIRR3;Consumo Cíclico;Construção Civil;Incorporações
ECOR3;Bens Industriais;Transporte;Exploração de Rodovias
EMBJ3;Bens Industriais;Material de Transporte;Material Aeronáutico e de Defesa
ENGI11;Utilidade Pública;Energia Elétrica;Energia Elétrica
ENEV3;Utilidade Pública;Energia Elétrica;Energia Elétrica
EGIE3;Utilidade Pública;Energia Elétrica;Energia Elétrica
EQTL3;Utilidade Pública;Energia Elétrica;Energia Elétrica
EZTC3;Consumo Cíclico;Construção Civil;Incorporações
FLRY3;Saúde;Serv.Méd.Hospit..Análises e Diagnósticos;Serv.Méd.Hospit..Análises e Diagnósticos
GGBR4;Materiais Básicos;Siderurgia e Metalurgia;Siderurgia
GOAU4;Materiais Básicos;Siderurgia e Metalurgia;Siderurgia
GGPS3;Bens Industriais;Transporte;Logística
GMAT3;Consumo não Cíclico;Comércio e Distribuição;Alimentos
HAPV3;Saúde;Serv.Méd.Hospit..Análises e Diagnósticos;Serv.Méd.Hospit..Análises e Diagnósticos
HYPE3;Saúde;Comércio e Distribuição;Medicamentos e Outros Produtos
IGTI11;Financeiro e Outros;Exploração de Imóveis;Exploração de Imóveis
INTB3;Tecnologia da Informação;Computadores e Equipamentos;Computadores e Equipamentos
IRBR3;Financeiro e Outros;Previdência e Seguros;Seguradoras
ISAE4;Utilidade Pública;Energia Elétrica;Energia Elétrica
ITSA4;Financeiro e Outros;Intermediários Financeiros;Bancos
ITUB4;Financeiro e Outros;Intermediários Financeiros;Bancos
KLBN11;Materiais Básicos;Madeira e Papel;Papel e Celulose
RENT3;Consumo Cíclico;Diversos;Aluguel de carros
LREN3;Consumo Cíclico;Comércio;Tecidos. Vestuário e Calçados
LWSA3;Tecnologia da Informação;Programas e Serviços;Programas e Serviços
