;ticket;valor_intrinseco;desconto;preco_inicio;preco_fim;variacao_percentual
0;NVDA;661.48;-79.10000000000001;138.27;187.54;35.63
1;AAPL;3888.77;-93.76;242.75;273.08;12.49
2;MSFT;8170.92;-94.91000000000001;415.51;487.48;17.32
3;AMZN;3277.3;-93.28;220.22;232.53;5.59
4;GOOGL;261.12;-27.74;188.69;313.85;66.33
5;GOOG;261.12;-27.279999999999998;189.89;314.55;65.64999999999999
6;AVGO;331.84;-30.72;229.9;349.85;52.17
7;META;832.24;-28.22;597.36;665.95;11.48
8;TSLA;34.43;1001.6;379.28;454.43;19.81
9;BRK-B;15470.36;-97.08;451.1;503.71;11.66
10;LLY;421.55;83.21;772.31;1079.75;39.81
11;WMT;1175.65;-92.42;89.15;111.92;25.55
12;JPM;20574.19;-98.86;233.97;321.97;37.61
13;V;7327.99;-95.74000000000001;312.18;353.62;13.270000000000001
14;ORCL;2047.77;-91.99000000000001;163.96;196.69;19.96
15;MA;10018.22;-94.82000000000001;518.64;576.55;11.17
16;XOM;3189.46;-96.75;103.51;120.99;16.89
17;JNJ;2309.51;-93.95;139.74;206.91;48.07
18;PLTR;6.6;1039.24;75.19;180.84;140.51
19;BAC;1003.89;-95.69;43.29;55.28;27.700000000000003
20;ABBV;1058.86;-83.63000000000001;173.38;229.74;32.51
21;COST;1.47;61470.55;905.09;865.65;-4.36
22;NFLX;697.82;-87.29;88.67;93.78;5.76
23;MU;4.1;2023.04;87.04;292.63;236.18
24;HD;379848647169.52;-100.0;379.01;346.35;-8.62
25;GE;3721.88;-95.5;167.63;311.79;85.99
26;AMD;182.97;-34.07;120.63;215.34;78.51
27;PG;3948.46;-95.89999999999999;161.71;144.05;-10.92
28;CVX;8162.52;-98.28;140.21;152.31;8.63
29;UNH;5705.21;-91.36999999999999;492.38;332.16;-32.54
30;CSCO;1363.17;-95.8;57.31;77.0;34.36
31;WFC;1972.54;-96.52;68.7;94.31;37.28
32;MS;2816.52;-95.69;121.38;179.08;47.54
33;KO;1549.82;-96.12;60.07;70.07;16.650000000000002
34;GS;12575.74;-95.52000000000001;563.47;884.42;56.96
35;CAT;16929.26;-97.91;354.42;577.39;62.91
36;IBM;147.27;45.58;214.4;302.05;40.88
37;MRK;4514.63;-97.88;95.58;106.06;10.97
38;AXP;9744.89;-96.98;294.6;372.56;26.47
39;LRCX;861.69;-91.67;71.78;173.78;142.09
40;RTX;1299.43;-91.24;113.89;184.01;61.57
41;CRM;1295.16;-74.64;328.52;265.92;-19.05
42;PM;177.59;-34.14;116.97;161.95;38.46
43;TMO;5578.34;-90.67;520.73;583.45;12.04
44;AMAT;5932.74;-97.27;162.25;259.97;60.23
45;TMUS;9657.85;-97.76;216.16;203.8;-5.72
46;ABT;5870.3;-98.1;111.33;125.78;12.98
47;C;1620.06;-95.8;68.05;117.21;72.24000000000001
48;MCD;-8.64;-3408.37;285.84;308.03;7.76
49;APP;2832.52;-87.92999999999999;341.78;693.71;102.97
