Ticket;Setor de Atuação;Subsetor de Atuação;Segmento de Atuação
NVDA;Tecnologia da Informação;Computadores e Equipamentos;Computadores e Equipamentos
AAPL;Tecnologia da Informação;Computadores e Equipamentos;Computadores e Equipamentos
MSFT;Tecnologia da Informação;Programas e Serviços;Programas e Serviços
AMZN;Consumo Cíclico;Comércio;Produtos Diversos
GOOGL;Tecnologia da Informação;Programas e Serviços;Programas e Serviços
GOOG;Tecnologia da Informação;Programas e Serviços;Programas e Serviços
AVGO;Tecnologia da Informação;Computadores e Equipamentos;Computadores e Equipamentos
META;Tecnologia da Informação;Programas e Serviços;Programas e Serviços
TSLA;Consumo Cíclico;Automóveis e Motocicletas;Automóveis e Motocicletas
BRK-B;Financeiro e Outros;Holdings Diversificadas;Holdings Diversificadas
LLY;Saúde;Medicamentos e Outros Produtos;Medicamentos e Outros Produtos
WMT;Consumo não Cíclico;Diversos;Produtos Diversos
JPM;Financeiro e Outros;Intermediários Financeiros;Bancos
V;Bens Industriais;Serviços;Serviços Diversos
ORCL;Tecnologia da Informação;Programas e Serviços;Programas e Serviços
MA;Bens Industriais;Serviços;Serviços Diversos
XOM;Petróleo. Gás e Biocombustíveis;Petróleo. Gás e Biocombustíveis;Exploração. Refino e Distribuição
JNJ;Saúde;Medicamentos e Outros Produtos;Medicamentos e Outros Produtos
PLTR;Tecnologia da Informação;Programas e Serviços;Programas e Serviços
BAC;Financeiro e Outros;Intermediários Financeiros;Bancos
ABBV;Saúde;Medicamentos e Outros Produtos;Medicamentos e Outros Produtos
COST;Consumo não Cíclico;Diversos;Produtos Diversos
NFLX;Consumo Cíclico;Utilidades Domésticas;Eletrônicos
MU;Tecnologia da Informação;Computadores e Equipamentos;Computadores e Equipamentos
HD;Bens Industriais;Construção e Engenharia;Produtos para Construção
GE;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais
AMD;Tecnologia da Informação;Computadores e Equipamentos;Computadores e Equipamentos
PG;Consumo não Cíclico;Produtos de Uso Pessoal e de Limpeza;Produtos de Uso Pessoal
CVX;Petróleo. Gás e Biocombustíveis;Petróleo. Gás e Biocombustíveis;Exploração. Refino e Distribuição
UNH;Saúde;Serv.Méd.Hospit..Análises e Diagnósticos;Serv.Méd.Hospit..Análises e Diagnósticos
CSCO;Tecnologia da Informação;Computadores e Equipamentos;Computadores e Equipamentos
WFC;Financeiro e Outros;Intermediários Financeiros;Bancos
MS;Financeiro e Outros;Intermediários Financeiros;Bancos
KO;Consumo não Cíclico;Bebidas;Cervejas e Refrigerantes
GS;Financeiro e Outros;Intermediários Financeiros;Bancos
CAT;Bens Industriais;Construção e Engenharia;Produtos para Construção
IBM;Tecnologia da Informação;Computadores e Equipamentos;Computadores e Equipamentos
MRK;Saúde;Medicamentos e Outros Produtos;Medicamentos e Outros Produtos
