;ticket;2024;2023;2022;2021;2020;2019;2018;2017;2016
D.Y;bbas3;13.42;8.48;12.01;7.86;3.81;4.84;3.26;2.96;2.65
Div;bbas3;2.61;2.28;2.08;1.13;0.73;1.27;0.75;0.47;0.37
P/L;bbas3;4.75;4.66;3.32;4.19;8.36;9.23;9.64;8.58;11.45
PEG Ratio;bbas3;-0.39;;;;;;0.32;0.17;-0.23
P/VP;bbas3;0.77;0.91;0.62;0.58;0.95;1.53;1.45;1.04;1.06
EV/EBITDA;bbas3;;;;;;10.01;;;
EV/EBIT;bbas3;5.0;3.76;2.59;3.45;9.6;13.59;6.53;5.72;7.39
P/EBITDA;bbas3;;;;;;10.01;;;
P/EBIT;bbas3;5.0;3.76;2.59;3.45;9.6;13.59;6.53;5.72;7.39
VPA;bbas3;31.34;59.06;55.58;49.82;40.74;34.51;32.1;30.55;26.6
P/Ativo;bbas3;0.06;0.07;0.05;0.04;0.06;0.1;0.09;0.06;0.05
LPA;bbas3;5.09;11.57;10.47;6.88;4.64;5.72;4.83;3.71;2.45
P/SR;bbas3;0.51;0.58;0.42;0.66;1.13;1.23;1.11;0.62;0.46
P/Cap. Giro;bbas3;1.85;2.84;1.51;1.58;0.66;-0.51;-0.62;-0.36;-0.31
P/Ativo Circ. Liq.;bbas3;-0.06;-0.07;-0.05;-0.04;-0.07;-0.2;-0.2;-0.14;-0.11
Dív. líquida/PL;bbas3;;;;;;;;;
Dív. líquida/EBITDA;bbas3;;;;;;;;;
Dív. líquida/EBIT;bbas3;;;;;;;;;
PL/Ativos;bbas3;0.07;0.08;0.08;0.07;0.07;0.07;0.07;0.07;0.06
Passivos/Ativos;bbas3;0.92;0.92;0.92;0.88;0.88;0.87;0.93;0.93;0.94
Liq. corrente;bbas3;10.06;21.91;24.89;26.54;56.87;0.07;;;
M. Bruta;bbas3;38.21;33.43;31.43;47.38;56.18;27.5;31.68;21.31;17.58
M. EBITDA;bbas3;;;;;;12.29;;;
M. EBIT;bbas3;10.13;15.5;16.26;19.05;11.73;9.05;16.98;10.83;6.18
M. Líquida;bbas3;10.67;12.49;12.68;15.66;13.47;13.32;11.5;7.23;3.99
ROE;bbas3;16.24;19.6;18.79;13.82;10.63;15.22;13.57;10.92;8.14
ROA;bbas3;1.22;1.54;1.49;0.99;0.75;1.07;0.99;0.79;0.51
ROIC;bbas3;;;;;;;;;
Giro ativos;bbas3;0.11;0.12;0.12;0.06;0.06;0.08;0.09;0.11;0.13
CAGR Receitas 5 anos;bbas3;17.31;17.16;9.97;-6.5;-11.56;-2.23;2.83;9.32;13.59
CAGR Lucros 5 anos;bbas3;12.21;19.12;23.06;22.92;-1.13;6.71;5.78;-1.12;-11.14
D.Y;bbdc4;9.64;9.93;2.8;5.34;2.61;5.68;2.97;3.18;1.24
Div;bbdc4;1.14;1.69;0.42;1.02;0.7;2.01;1.14;1.07;0.36
P/L;bbdc4;7.01;12.54;7.53;7.99;15.01;13.87;15.66;12.1;9.0
PEG Ratio;bbdc4;0.33;;;;;;-5.3;-2.69;-6.84
P/VP;bbdc4;0.73;1.09;1.01;1.25;1.68;2.18;2.14;1.87;1.6
EV/EBITDA;bbdc4;;;;;;15.66;;;
EV/EBIT;bbdc4;6.99;16.87;6.19;5.24;55.87;21.16;12.53;8.48;5.06
P/EBITDA;bbdc4;;;;;;16.13;;;
P/EBIT;bbdc4;7.28;17.82;6.56;5.68;59.07;21.8;13.36;8.71;5.05
VPA;bbdc4;15.82;15.63;14.97;15.41;16.2;16.58;18.02;18.08;18.09
P/Ativo;bbdc4;0.06;0.09;0.09;0.11;0.18;0.25;0.23;0.2;0.15
LPA;bbdc4;1.65;1.36;2.01;2.41;1.81;2.61;2.47;2.8;3.22
P/SR;bbdc4;0.58;0.81;0.78;1.49;2.45;2.35;2.31;1.5;0.99
P/Cap. Giro;bbdc4;0.64;1.06;1.43;3.27;1.39;-3.13;-3.3;-1.47;-0.83
P/Ativo Circ. Liq.;bbdc4;-0.07;-0.1;-0.1;-0.12;-0.2;-0.51;-0.5;-0.4;-0.29
Dív. líquida/PL;bbdc4;;;;;;;;;
Dív. líquida/EBITDA;bbdc4;;;;;;;;;
