;ATUAL;2024;2023;2022;2021;2020;2019;2018;2017;2016
D.Y;7.33;9.64;9.93;2.8;5.34;2.61;5.68;2.97;3.18;1.24
P/L;9.03;7.01;12.54;7.53;7.99;15.01;13.87;15.66;12.1;9.0
PEG Ratio;0.2;0.33;;;;;;-5.3;-2.69;-6.84
P/VP;1.11;0.73;1.09;1.01;1.25;1.68;2.18;2.14;1.87;1.6
EV/EBITDA;;;;;;;15.66;;;
EV/EBIT;9.77;6.99;16.87;6.19;5.24;55.87;21.16;12.53;8.48;5.06
P/EBITDA;;;;;;;16.13;;;
P/EBIT;10.5;7.28;17.82;6.56;5.68;59.07;21.8;13.36;8.71;5.05
VPA;16.58;15.82;15.63;14.97;15.41;16.2;16.58;18.02;18.08;18.09
P/Ativo;0.09;0.06;0.09;0.09;0.11;0.18;0.25;0.23;0.2;0.15
LPA;2.04;1.65;1.36;2.01;2.41;1.81;2.61;2.47;2.8;3.22
P/SR;0.77;0.58;0.81;0.78;1.49;2.45;2.35;2.31;1.5;0.99
P/Cap. Giro;0.95;0.64;1.06;1.43;3.27;1.39;-3.13;-3.3;-1.47;-0.83
P/Ativo Circ. Liq.;-0.1;-0.07;-0.1;-0.1;-0.12;-0.2;-0.51;-0.5;-0.4;-0.29
Dív. líquida/PL;;;;;;;;;;
Dív. líquida/EBITDA;;;;;;;;;;
Dív. líquida/EBIT;;;;;;;;;;
PL/Ativos;0.08;0.08;0.09;0.09;0.11;0.11;0.1;0.1;0.1;0.09
Passivos/Ativos;0.92;0.92;0.91;0.91;1.07;1.06;0.9;0.9;0.9;0.91
Liq. corrente;10.67;12.81;12.02;9.46;5.0;5.75;0.16;;;
M. Bruta;30.41;32.33;30.33;36.48;56.06;50.65;52.84;50.91;45.14;44.12
M. EBITDA;;;;;;;14.55;;;
M. EBIT;7.36;7.93;4.55;11.96;26.19;4.14;10.76;17.27;17.23;19.58
M. Líquida;8.56;8.23;6.46;10.42;18.64;16.29;16.91;14.74;12.4;10.98
ROE;12.29;10.42;8.72;13.45;15.61;11.01;15.56;13.34;14.56;16.99
ROA;0.98;0.85;0.75;1.19;1.65;1.17;1.53;1.27;1.4;1.5
ROIC;;;;;;;;;;
Giro ativos;0.11;0.1;0.12;0.11;0.09;0.07;0.09;0.09;0.11;0.14
CAGR Receitas 5 anos;11.4;11.4;14.8;8.37;-5.09;-3.0;4.51;7.69;9.9;14.02
CAGR Lucros 5 anos;0.54;-3.56;-2.65;4.66;5.49;-2.43;6.54;5.99;8.64;10.31
