;ATUAL;2024;2023;2022;2021;2020;2019;2018;2017;2016
D.Y;3.7;4.1;2.65;3.91;5.51;1.75;2.04;6.11;8.88;
P/L;9.13;7.47;11.31;8.52;6.88;19.03;16.17;15.54;8.21;
PEG Ratio;0.31;0.98;;;;;;-0.41;-0.15;
P/VP;1.88;1.35;2.17;1.52;1.6;2.34;2.85;1.06;0.92;
EV/EBITDA;;7.55;9.67;9.34;9.01;47.45;15.59;54.03;13.87;
EV/EBIT;11.57;8.14;12.37;9.56;8.77;83.41;13.76;42.8;10.96;
P/EBITDA;;5.81;7.57;6.56;6.7;34.85;14.13;51.0;13.61;
P/EBIT;7.39;6.26;9.68;6.71;6.52;61.25;12.47;40.4;10.76;
VPA;5.98;5.19;4.52;3.68;3.25;9.84;8.08;7.01;6.76;6.55
P/Ativo;0.19;0.12;0.23;0.17;0.19;0.25;0.34;0.12;0.11;
LPA;1.23;0.93;0.87;0.66;0.76;1.21;1.42;0.48;0.76;1.76
P/SR;3.37;2.32;4.59;2.86;3.56;4.73;5.45;2.66;2.27;
P/Cap. Giro;-0.25;17.05;-0.29;6.2;4.16;6.61;3.25;2.55;0.94;
P/Ativo Circ. Liq.;-0.19;-0.12;-0.23;-2.01;-2.56;-0.85;-1.39;-0.37;-0.32;
Dív. líquida/PL;;;;;;;;;;
Dív. líquida/EBITDA;;;;;;;;;;
Dív. líquida/EBIT;;;;;;;;;;
PL/Ativos;0.1;0.09;0.12;0.12;0.12;0.11;0.12;0.14;0.16;0.16
Passivos/Ativos;0.89;0.9;0.99;1.09;0.88;0.89;0.88;0.86;0.84;0.84
Liq. corrente;0.01;0.01;0.01;0.01;1.1;0.92;1.16;;;
M. Bruta;47.69;38.87;90.74;79.36;33.71;-7.36;31.18;-11.15;21.91;56.37
M. EBITDA;;39.87;60.58;43.62;53.23;13.57;38.56;5.22;16.66;37.55
M. EBIT;45.56;37.0;47.38;42.61;54.68;7.72;43.67;6.59;21.07;53.63
M. Líquida;36.88;31.0;40.54;33.57;51.82;24.86;33.69;17.14;27.62;36.42
ROE;20.6;18.0;19.21;16.84;23.27;12.29;17.59;6.75;11.02;26.56
ROA;2.06;1.66;2.26;2.05;2.73;1.3;2.13;0.97;1.76;4.25
ROIC;;;;;;;;;;
Giro ativos;0.06;0.05;0.06;0.06;0.05;0.05;0.06;0.06;0.06;0.12
CAGR Receitas 5 anos;25.49;25.49;26.97;24.68;5.25;2.49;-0.86;-3.31;-1.5;19.8
CAGR Lucros 5 anos;30.46;23.42;50.83;29.63;12.94;34.81;12.13;-12.39;-0.63;28.82
