;ATUAL;2024;2023;2022;2021;2020;2019;2018;2017;2016
D.Y;11.77;7.85;3.7;4.07;4.34;4.12;7.56;6.25;0.76;2.47
P/L;10.14;7.33;10.06;8.39;7.68;16.4;13.42;9.32;12.08;9.37
PEG Ratio;0.83;0.3;;;;;;1.26;1.67;-0.59
P/VP;2.07;1.43;1.75;1.46;1.34;2.17;2.66;1.7;2.13;1.65
EV/EBITDA;7.51;5.23;6.03;5.54;4.22;32.56;9.73;;;
EV/EBIT;8.61;5.94;7.75;6.26;4.65;55.77;10.84;6.99;8.63;5.35
P/EBITDA;7.85;5.58;6.53;5.91;4.42;34.59;10.45;;;
P/EBIT;9.0;6.34;8.39;6.68;4.86;59.26;11.64;7.58;9.16;5.68
VPA;19.49;21.53;19.4;17.11;15.59;14.59;13.97;20.93;19.96;20.49
P/Ativo;0.15;0.11;0.13;0.11;0.1;0.15;0.22;0.15;0.2;0.15
LPA;3.97;4.19;3.38;2.98;2.73;1.93;2.77;3.81;3.52;3.61
P/SR;1.14;0.9;1.06;0.95;1.05;1.78;1.88;1.77;1.87;1.16
P/Cap. Giro;-1.97;8.34;-5.15;;;;;;;
P/Ativo Circ. Liq.;-0.15;-0.11;-0.13;-0.11;-0.1;-0.16;-0.23;-0.15;-0.2;-0.15
Dív. líquida/PL;;;;;;;;;;
Dív. líquida/EBITDA;;;;;;;;;;
Dív. líquida/EBIT;;;;;;;;;;
PL/Ativos;0.07;0.07;0.07;0.07;0.07;0.07;0.08;0.09;0.09;0.09
Passivos/Ativos;0.92;0.92;0.92;0.92;0.92;0.92;0.91;0.9;0.9;0.9
Liq. corrente;0.13;0.31;0.33;;;;;;;
M. Bruta;34.81;40.48;39.76;44.22;57.23;57.67;60.65;46.23;47.63;45.64
M. EBITDA;14.55;16.1;16.28;16.02;23.75;5.16;18.03;;;
M. EBIT;12.69;14.18;12.67;14.17;21.58;3.01;16.18;23.31;20.45;20.39
M. Líquida;11.26;12.25;10.57;11.28;13.68;10.87;14.05;18.97;15.51;12.36
ROE;20.37;19.46;17.41;17.41;17.51;13.21;19.8;18.21;17.18;17.65
ROA;1.47;1.44;1.3;1.26;1.29;0.94;1.66;1.6;1.61;1.6
ROIC;;;;;;;;;;
Giro ativos;0.13;0.12;0.12;0.11;0.09;0.09;0.12;0.08;0.1;0.13
CAGR Receitas 5 anos;11.68;11.68;18.99;11.61;2.26;6.04;8.39;6.73;8.05;11.05
CAGR Lucros 5 anos;10.06;8.67;5.86;4.72;4.35;-5.99;4.69;8.68;12.92;9.34
