;ATUAL;2024;2023;2022;2021;2020;2019;2018;2017;2016
D.Y;5.65;6.7;5.14;7.86;9.31;6.26;4.65;4.5;5.86;4.86
P/L;11.23;7.02;13.42;7.81;7.69;13.13;10.75;12.23;11.2;10.36
PEG Ratio;6.14;0.17;;;;;;0.3;0.52;-0.41
P/VP;1.05;0.79;1.11;1.02;1.1;2.08;2.53;1.69;1.15;0.9
EV/EBITDA;;;;;;;7.53;;;
EV/EBIT;8.09;4.65;10.16;5.4;4.54;17.39;8.34;10.06;8.31;6.82
P/EBITDA;;;;;;;7.15;;;
P/EBIT;8.25;4.91;10.69;5.72;4.83;18.23;7.92;9.68;6.89;4.64
VPA;16.52;15.94;15.26;14.69;14.54;11.32;9.29;12.14;11.46;11.12
P/Ativo;0.1;0.08;0.11;0.11;0.12;0.18;0.21;0.21;0.15;0.12
LPA;1.55;1.79;1.27;1.91;2.08;1.79;2.19;1.68;1.18;0.97
P/SR;0.83;0.69;0.99;0.97;1.53;2.81;2.42;2.18;1.4;0.99
P/Cap. Giro;-0.17;2.54;-0.12;-0.13;-0.27;-0.37;-1.97;;;
P/Ativo Circ. Liq.;-0.11;-0.08;-0.11;-0.12;-0.14;-0.21;-0.53;-0.22;-0.18;-0.15
Dív. líquida/PL;;;;;;;;;;
Dív. líquida/EBITDA;;;;;;;;;;
Dív. líquida/EBIT;;;;;;;;;;
PL/Ativos;0.1;;0.1;0.1;0.11;0.09;0.13;0.13;0.13;0.13
Passivos/Ativos;0.9;;0.9;0.82;0.89;0.91;0.87;0.87;0.87;0.87
Liq. corrente;0.03;;0.47;0.44;0.23;0.26;0.03;;;
M. Bruta;37.88;41.32;36.55;41.23;65.8;70.8;60.85;59.48;48.93;39.65
M. EBITDA;;;;;;;33.86;;;
M. EBIT;10.1;13.99;9.29;16.99;31.74;15.39;30.58;22.57;20.32;21.24
M. Líquida;7.42;9.78;7.4;12.44;19.95;21.38;22.52;17.85;12.5;9.51
ROE;9.37;;8.3;13.01;14.27;15.81;16.98;13.83;10.3;8.72
ROA;0.92;;0.85;1.35;1.59;1.36;2.15;1.74;1.38;1.16
ROIC;;;;;;;;;;
Giro ativos;0.12;;0.11;0.11;0.08;0.06;0.1;0.1;0.11;0.12
CAGR Receitas 5 anos;13.5;13.5;12.73;10.04;0.22;-2.12;4.33;6.59;6.29;8.33
CAGR Lucros 5 anos;-6.94;-4.21;-5.47;9.95;16.23;6.52;23.85;17.06;10.23;-1.07
