Ticket;Setor de Atuação;Subsetor de Atuação;Segmento de Atuação
AALR3;Saúde;Serv.Méd.Hospit..Análises e Diagnósticos;Serv.Méd.Hospit..Análises e Diagnósticos
ABCB4;Financeiro e Outros;Intermediários Financeiros;Bancos
ABEV3;Consumo não Cíclico;Bebidas;Cervejas e Refrigerantes
ADHM3;Saúde;Serv.Méd.Hospit..Análises e Diagnósticos;Serv.Méd.Hospit..Análises e Diagnósticos
AERI3;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais
AESB3;Utilidade Pública;Energia Elétrica;Energia Elétrica
AFLT3;Utilidade Pública;Energia Elétrica;Energia Elétrica
AGRO3;Consumo não Cíclico;Agropecuária;Agricultura
AGXY3;Consumo não Cíclico;Agropecuária;Agricultura
AHEB3;Consumo Cíclico;Viagens e Lazer;Produção de Eventos e Shows
AHEB5;Consumo Cíclico;Viagens e Lazer;Produção de Eventos e Shows
AHEB6;Consumo Cíclico;Viagens e Lazer;Produção de Eventos e Shows
ALLD3;Consumo Cíclico;Comércio;Eletrodomésticos
ALOS3;Financeiro e Outros;Exploração de Imóveis;Exploração de Imóveis
ALPA3;Consumo Cíclico;Tecidos. Vestuário e Calçados;Calçados
ALPA4;Consumo Cíclico;Tecidos. Vestuário e Calçados;Calçados
ALPK3;Bens Industriais;Serviços;Serviços Diversos
ALUP11;Utilidade Pública;Energia Elétrica;Energia Elétrica
ALUP3;Utilidade Pública;Energia Elétrica;Energia Elétrica
ALUP4;Utilidade Pública;Energia Elétrica;Energia Elétrica
AMAR3;Consumo Cíclico;Comércio;Tecidos. Vestuário e Calçados
AMBP3;Utilidade Pública;Água e Saneamento;Água e Saneamento
AMER3;Consumo Cíclico;Comércio;Produtos Diversos
AMOB3;Petróleo. Gás e Biocombustíveis;Petróleo. Gás e Biocombustíveis;Equipamentos e Serviços
ANIM3;Consumo Cíclico;Diversos;Serviços Educacionais
APER3;Financeiro e Outros;Previdência e Seguros;Corretoras de Seguros
APTI3;Consumo não Cíclico;Agropecuária;Agricultura
APTI4;Consumo não Cíclico;Agropecuária;Agricultura
ARML3;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais
ARND3;Tecnologia da Informação;Programas e Serviços;Programas e Serviços
ASAI3;Consumo não Cíclico;Comércio e Distribuição;Alimentos
AUAU3;Consumo Cíclico;Comércio;Produtos Diversos
AURA33;Materiais Básicos;Mineração;Minerais Metálicos
AURE3;Utilidade Pública;Energia Elétrica;Energia Elétrica
AVLL3;Consumo Cíclico;Construção Civil;Incorporações
AXIA3;Utilidade Pública;Energia Elétrica;Energia Elétrica
AXIA5;Utilidade Pública;Energia Elétrica;Energia Elétrica
AXIA6;Utilidade Pública;Energia Elétrica;Energia Elétrica
AXIA7;Utilidade Pública;Energia Elétrica;Energia Elétrica
AZEV3;Bens Industriais;Construção e Engenharia;Construção Pesada
AZEV4;Bens Industriais;Construção e Engenharia;Construção Pesada
AZTE3;Materiais Básicos;Químicos;Petroquímicos
AZUL53;Bens Industriais;Transporte;Transporte Aéreo
AZUL54;Bens Industriais;Transporte;Transporte Aéreo
AZZA3;Consumo Cíclico;Comércio;Tecidos. Vestuário e Calçados
B3SA3;Financeiro e Outros;Serviços Financeiros Diversos;Serviços Financeiros Diversos
BAHI3;Consumo Cíclico;Diversos;Serviços Educacionais
BALM3;Saúde;Equipamentos;Equipamentos
BALM4;Saúde;Equipamentos;Equipamentos
BAUH3;Consumo não Cíclico;Alimentos Processados;Carnes e Derivados
BAUH4;Consumo não Cíclico;Alimentos Processados;Carnes e Derivados
BAZA3;Financeiro e Outros;Intermediários Financeiros;Bancos
BBAS3;Financeiro e Outros;Intermediários Financeiros;Bancos
BBDC3;Financeiro e Outros;Intermediários Financeiros;Bancos
BBDC4;Financeiro e Outros;Intermediários Financeiros;Bancos
BBML3;Bens Industriais;Serviços;Serviços Diversos
BBSE3;Financeiro e Outros;Previdência e Seguros;Seguradoras
BDLL3;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais
BDLL4;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais
BEEF3;Consumo não Cíclico;Alimentos Processados;Carnes e Derivados
BEES3;Financeiro e Outros;Intermediários Financeiros;Bancos
BEES4;Financeiro e Outros;Intermediários Financeiros;Bancos
BFRE11;Financeiro e Outros;Serviços Financeiros Diversos;Gestão de Recursos e Investimentos
BFRE12;Financeiro e Outros;Serviços Financeiros Diversos;Gestão de Recursos e Investimentos
BGIP3;Financeiro e Outros;Intermediários Financeiros;Bancos
BGIP4;Financeiro e Outros;Intermediários Financeiros;Bancos
BHIA3;Consumo Cíclico;Comércio;Eletrodomésticos
BIDI11;Financeiro e Outros;Intermediários Financeiros;Bancos
BIDI3;Financeiro e Outros;Intermediários Financeiros;Bancos
BIDI4;Financeiro e Outros;Intermediários Financeiros;Bancos
BIOM3;Saúde;Comércio e Distribuição;Medicamentos e Outros Produtos
BLAU3;Saúde;Medicamentos e Outros Produtos;Medicamentos e Outros Produtos
BLUT3;Financeiro e Outros;Holdings Diversificadas;Holdings Diversificadas
BLUT4;Financeiro e Outros;Holdings Diversificadas;Holdings Diversificadas
BMEB3;Financeiro e Outros;Intermediários Financeiros;Bancos
BMEB4;Financeiro e Outros;Intermediários Financeiros;Bancos
BMGB4;Financeiro e Outros;Intermediários Financeiros;Bancos
BMIN3;Financeiro e Outros;Intermediários Financeiros;Bancos
BMIN4;Financeiro e Outros;Intermediários Financeiros;Bancos
BMKS3;Consumo Cíclico;Viagens e Lazer;Bicicletas
BMOB3;Tecnologia da Informação;Programas e Serviços;Programas e Serviços
BNBR3;Financeiro e Outros;Intermediários Financeiros;Bancos
BOAS3;Financeiro e Outros;Serviços Financeiros Diversos;Serviços Financeiros Diversos
BOBR3;Consumo não Cíclico;Produtos de Uso Pessoal e de Limpeza;Produtos de Limpeza
BOBR4;Consumo não Cíclico;Produtos de Uso Pessoal e de Limpeza;Produtos de Limpeza
BPAC11;Financeiro e Outros;Intermediários Financeiros;Bancos
BPAC3;Financeiro e Outros;Intermediários Financeiros;Bancos
BPAC5;Financeiro e Outros;Intermediários Financeiros;Bancos
BPAN4;Financeiro e Outros;Intermediários Financeiros;Bancos
BPAR3;Financeiro e Outros;Intermediários Financeiros;Bancos
BPAT33;Financeiro e Outros;Intermediários Financeiros;Bancos
BPHA3;Saúde;Comércio e Distribuição;Medicamentos e Outros Produtos
BRAP3;Materiais Básicos;Mineração;Minerais Metálicos
BRAP4;Materiais Básicos;Mineração;Minerais Metálicos
BRAV3;Petróleo. Gás e Biocombustíveis;Petróleo. Gás e Biocombustíveis;Exploração. Refino e Distribuição
BRBI11;Financeiro e Outros;Intermediários Financeiros;Bancos
BRBI3;Financeiro e Outros;Intermediários Financeiros;Bancos
BRBI4;Financeiro e Outros;Intermediários Financeiros;Bancos
BRFS3;Consumo não Cíclico;Alimentos Processados;Carnes e Derivados
BRGE11;Financeiro e Outros;Previdência e Seguros;Seguradoras
BRGE12;Financeiro e Outros;Previdência e Seguros;Seguradoras
BRGE3;Financeiro e Outros;Previdência e Seguros;Seguradoras
BRGE5;Financeiro e Outros;Previdência e Seguros;Seguradoras
BRGE6;Financeiro e Outros;Previdência e Seguros;Seguradoras
